v1,v2
305,437
305,159
305,841
305,697
305,744
305,673
305,978
305,862
305,447
305,518
305,492
305,173
305,600
1103,326
1103,101
1103,631
1103,1217
1103,682
1103,142
1103,544
1103,580
1103,1072
1103,594
1103,732
1103,817
1103,818
1103,253
1103,51
1103,125
1103,647
1103,368
1103,50
1103,602
1103,1124
1103,1001
1103,1221
1103,1228
1103,404
1103,46
1103,590
1103,953
1103,455
1103,478
1103,912
1103,1255
287,55
287,386
287,20
287,1065
287,135
287,1243
287,1075
287,9
287,405
287,178
287,626
287,564
287,285
287,438
287,947
287,1055
287,295
287,59
287,74
287,1186
287,557
287,212
287,604
287,250
287,970
287,587
287,1202
287,1035
287,209
287,617
287,444
287,739
287,775
287,1100
287,1071
287,44
287,15
287,931
387,869
387,58
387,10
387,242
387,1074
387,347
387,21
387,614
387,865
387,777
387,584
387,660
387,263
387,1027
387,8
387,1034
387,65
387,1275
387,159
387,443
387,157
387,38
387,149
387,278
387,862
387,541
387,173
387,462
387,153
68,1170
68,959
68,17
68,61
68,494
68,34
68,1174
68,349
68,101
68,1217
68,271
68,545
68,158
68,565
68,795
68,111
68,461
68,635
68,1166
68,933
68,82
68,597
68,1268
68,0
68,968
68,89
68,57
68,983
68,1093
1175,773
1175,325
1175,882
1175,1216
1175,848
1175,510
1175,1261
1175,1072
1175,666
1175,832
1175,640
1175,1006
1175,420
1175,966
1175,395
1175,1094
1175,506
1175,207
1175,1124
1175,1221
1175,924
1175,14
1175,1133
1175,31
1175,1207
1175,208
1175,370
1175,403
1175,590
1175,641
1175,698
1175,553
1175,449
1175,1020
1175,912
1175,394
1175,663
805,694
805,121
805,29
805,238
805,1161
805,330
805,145
805,1280
805,728
805,847
805,1252
805,815
805,738
805,1000
805,228
805,571
805,37
805,6
805,1056
805,1054
805,916
805,345
805,490
805,218
805,106
805,1081
805,449
805,555
805,759
805,394
805,169
767,1224
767,864
767,1177
767,307
767,706
767,463
767,1065
767,248
767,281
767,32
767,551
767,83
767,19
767,567
767,154
767,418
767,1220
767,174
767,110
767,1062
767,250
767,201
767,1250
767,962
767,612
767,880
767,232
767,950
767,1100
767,1269
767,984
242,869
242,58
242,10
242,387
242,667
242,347
242,319
242,34
242,84
242,835
242,1
242,1027
242,892
242,592
242,795
242,399
242,1098
242,283
242,1266
242,443
242,157
242,149
242,278
242,56
242,324
242,793
242,71
242,3
242,247
242,107
242,357
242,889
242,462
242,1108
242,153
242,582
307,1224
307,864
307,386
307,1177
307,767
307,706
307,463
307,527
307,1065
307,248
307,281
307,32
307,551
307,83
307,19
307,567
307,154
307,863
307,285
307,418
307,1220
307,74
307,556
307,174
307,110
307,1062
307,212
307,250
307,201
307,1250
307,1202
307,962
307,612
307,433
307,880
307,232
307,950
307,1100
307,1071
307,1134
307,613
307,1269
307,984
810,1191
810,782
810,112
810,1281
810,398
810,927
810,1059
810,733
810,899
810,683
810,688
810,834
810,711
810,204
810,1198
810,737
810,1064
810,741
810,633
810,1246
810,86
810,282
810,352
810,1201
810,132
810,301
810,213
810,517
810,1187
810,593
93,18
93,109
93,922
93,619
93,579
93,1278
93,406
93,672
93,1004
93,189
93,1016
93,1120
93,471
93,1015
93,716
93,797
93,477
93,284
93,765
93,639
93,677
93,1218
93,1018
93,856
93,448
93,452
93,361
93,391
93,481
93,1119
93,624
93,756
93,1066
93,875
93,2
93,534
93,1095
93,237
718,219
718,300
718,937
718,907
718,867
718,925
718,1114
718,129
718,853
718,622
718,60
718,783
718,1044
718,523
718,113
718,270
718,1265
718,900
718,1146
718,717
718,576
718,489
718,479
718,298
718,1244
718,898
718,190
718,897
718,1122
718,678
718,54
718,525
129,300
129,937
129,867
129,925
129,1114
129,718
129,853
129,622
129,60
129,783
129,1044
129,523
129,113
129,270
129,1265
129,900
129,1146
129,717
129,1253
129,576
129,489
129,479
129,298
129,1244
129,898
129,215
129,190
129,897
129,1122
129,678
129,299
129,827
129,525
129,530
727,957
727,851
727,473
727,885
727,804
727,1131
727,1253
727,729
727,499
727,350
727,1214
727,696
727,973
727,724
727,377
727,637
727,450
727,877
727,1203
727,425
727,102
727,279
727,800
727,911
727,170
727,1090
727,1225
727,1185
727,427
727,1260
727,854
727,1205
727,522
727,486
727,687
727,123
727,73
843,853
843,589
843,42
843,1181
843,230
843,220
843,1190
843,270
843,900
843,1236
843,611
843,1113
843,618
843,489
843,789
843,241
843,195
843,812
843,432
843,479
843,550
843,897
843,1116
843,935
843,542
843,745
843,331
843,780
843,1165
706,55
706,1224
706,386
706,767
706,307
706,463
706,679
706,177
706,1065
706,281
706,32
706,551
706,83
706,496
706,986
706,19
706,567
706,626
706,1118
706,949
706,154
706,285
706,947
706,407
706,418
706,1220
706,39
706,74
706,654
706,556
706,1186
706,557
706,126
706,1085
706,239
706,1256
706,201
706,1250
706,1035
706,612
706,1061
706,310
706,1007
